file_a,file_b,hamming,same_label,same_hive_proxy,crosses_fold0,crosses_fold1,crosses_fold2
B_001_011_20230821214404_001_004_000_002.jpg,B_001_022_20230819200258_001_002_000_002.jpg,4,1,0,0,1,1
C_001_018_20231012143714_001_001_000_000.jpg,C_003_001_20230904151906_001_003_000_000.jpg,4,1,0,0,0,0
C_001_019_20231013142750_001_001_000_000.jpg,C_006_012_20230912145754_001_006_000_000.jpg,4,1,0,0,0,0
C_002_001_20230909110033_001_001_000_000.jpg,C_003_003_20230827152628_001_003_000_000.jpg,4,1,0,1,0,1
C_002_001_20230909112703_001_001_000_000.jpg,C_007_014_20230827173525_001_007_000_000.jpg,2,1,0,0,0,0
C_002_001_20231011090903_001_002_000_000.jpg,C_008_016_20230904144733_001_008_000_000.jpg,4,1,0,0,1,1
C_002_001_20231011094650_001_002_000_000.jpg,C_002_001_20231011132512_001_002_000_000.jpg,4,1,1,0,1,1
C_002_001_20231011102307_001_002_000_000.jpg,C_002_001_20231011130834_001_002_000_000.jpg,2,1,1,1,1,0
C_002_001_20231011102307_001_002_000_000.jpg,C_002_001_20231011131133_001_002_000_000.jpg,4,1,1,0,0,0
C_002_001_20231011102307_001_002_000_000.jpg,C_002_001_20231011132754_001_002_000_000.jpg,4,1,1,0,0,0
C_002_001_20231011102307_001_002_000_000.jpg,C_007_012_20230912143808_001_007_000_000.jpg,4,1,0,1,0,1
C_002_001_20231011102307_001_002_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,4,1,0,0,0,0
C_002_001_20231011130834_001_002_000_000.jpg,C_002_003_20231013112430_001_002_000_000.jpg,4,1,0,0,1,1
C_002_001_20231011130834_001_002_000_000.jpg,C_007_012_20230912143808_001_007_000_000.jpg,2,1,0,0,1,1
C_002_001_20231011130834_001_002_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,2,1,0,1,1,0
C_002_001_20231011132512_001_002_000_000.jpg,C_002_001_20231011153645_001_002_000_000.jpg,4,1,1,1,0,1
C_002_001_20231011135715_001_002_000_000.jpg,C_002_002_20231012111907_001_002_000_000.jpg,4,1,0,0,0,0
C_002_001_20231011135715_001_002_000_000.jpg,C_002_025_20230826151602_001_001_000_000.jpg,4,1,0,0,1,1
C_002_001_20231011142308_001_002_000_000.jpg,C_002_001_20231011163944_001_002_000_000.jpg,2,1,1,0,0,0
C_002_001_20231011153645_001_002_000_000.jpg,C_002_002_20231012143034_001_002_000_000.jpg,4,1,0,0,0,0
C_002_001_20231011153645_001_002_000_000.jpg,C_002_003_20231013145014_001_002_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012095434_001_002_000_000.jpg,C_006_012_20230906170152_001_006_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012095434_001_002_000_000.jpg,C_010_021_20230906174809_001_010_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012111907_001_002_000_000.jpg,C_002_025_20230826151602_001_001_000_000.jpg,2,1,0,0,1,1
C_002_002_20231012111907_001_002_000_000.jpg,C_005_008_20230904161438_001_005_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012133834_001_002_000_000.jpg,C_004_004_20230906180407_001_004_000_000.jpg,4,1,0,0,1,1
C_002_002_20231012133834_001_002_000_000.jpg,C_007_014_20230827173525_001_007_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012143034_001_002_000_000.jpg,C_002_003_20231013145014_001_002_000_000.jpg,0,1,0,0,0,0
C_002_002_20231012143034_001_002_000_000.jpg,C_006_011_20230904154859_001_006_000_000.jpg,4,1,0,1,1,0
