task,fold,model,n,auc_ref,auc_model,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_p,delong_p_holm,mcnemar_p_holm
you_chalk_brood,0,lgca_net_no_cross_attn,114,0.7873191751308095,0.7943982763927362,-0.2649522929375514,0.7910462134205039,0,1,1.0,1.0,1.0
you_chalk_brood,1,lgca_net_no_cross_attn,64,0.7966764418377321,0.8514173998044966,-1.7066582043461345,0.0878855999757298,0,1,1.0,1.0,1.0
you_chalk_brood,2,lgca_net_no_cross_attn,40,0.8822055137844611,0.8546365914786967,0.9264766322505956,0.35419833552263813,0,0,1.0,1.0,1.0
you_chalk_brood,0,lgca_net_cnn_only,114,0.7873191751308095,0.8064019698368728,-0.4630260630734321,0.6433456855311386,0,2,0.5,1.0,1.0
you_chalk_brood,1,lgca_net_cnn_only,64,0.7966764418377321,0.7986314760508308,-0.13342973407634767,0.8938535312523189,0,1,1.0,1.0,1.0
you_chalk_brood,2,lgca_net_cnn_only,40,0.8822055137844611,0.87468671679198,0.20611647905290112,0.8366999267197935,1,0,1.0,1.0,1.0
you_chalk_brood,0,resnet50,114,0.7873191751308095,0.938134810710988,-3.553047532709897,0.0003807956519116532,3,19,0.0008554458618164062,0.011423869557349597,0.028229713439941406
you_chalk_brood,1,resnet50,64,0.7966764418377321,0.884652981427175,-2.2337108407894846,0.025502105238086888,2,3,1.0,0.5921685518419708,1.0
you_chalk_brood,2,resnet50,40,0.8822055137844611,0.8897243107769424,-0.18661920128360177,0.8519592107825336,1,1,1.0,1.0,1.0
you_chalk_brood,0,densenet121,114,0.7873191751308095,0.9396737457679286,-3.8497593975562427,0.00011823390988325415,1,11,0.00634765625,0.003783485116264133,0.19677734375
you_chalk_brood,1,densenet121,64,0.7966764418377321,0.8670576735092864,-2.0601652483860056,0.039382745902163174,7,5,0.7744140625,0.8270376639454267,1.0
you_chalk_brood,2,densenet121,40,0.8822055137844611,0.8922305764411027,-0.2868958542902228,0.7741920649166502,3,1,0.625,1.0,1.0
you_chalk_brood,0,efficientnetv2,114,0.7873191751308095,0.9142813173284088,-2.862063042593966,0.004208931786417419,4,14,0.0308837890625,0.11785009001968773,0.8956298828125
you_chalk_brood,1,efficientnetv2,64,0.7966764418377321,0.9130009775171065,-2.359376771546377,0.018305659464399757,3,4,1.0,0.45764148660999393,1.0
you_chalk_brood,2,efficientnetv2,40,0.8822055137844611,0.8796992481203008,0.04238044900265667,0.9661954137804013,6,1,0.125,1.0,1.0
you_chalk_brood,0,coatnet,114,0.7873191751308095,0.8233302554632195,-1.1728013144135596,0.24087549092606897,0,5,0.0625,1.0,1.0
you_chalk_brood,1,coatnet,64,0.7966764418377321,0.8054740957966764,-0.5756255813929588,0.5648682862078034,0,2,0.5,1.0,1.0
you_chalk_brood,2,coatnet,40,0.8822055137844611,0.8596491228070176,0.5660116161682909,0.5713858839720083,4,0,0.125,1.0,1.0
you_chalk_brood,0,crossvit,114,0.7873191751308095,0.8125577100646353,-0.7351272486227352,0.462262000764588,1,6,0.125,1.0,1.0
you_chalk_brood,1,crossvit,64,0.7966764418377321,0.8181818181818182,-1.230767224532221,0.21840993718670965,0,2,0.5,1.0,1.0
you_chalk_brood,2,crossvit,40,0.8822055137844611,0.8721804511278195,0.20295593015606725,0.8391694779182575,2,0,0.5,1.0,1.0
you_chalk_brood,0,nextvit_small,114,0.7873191751308095,0.8919667590027701,-3.027137971810188,0.0024688124423914355,0,5,0.0625,0.07159556082935163,1.0
you_chalk_brood,1,nextvit_small,64,0.7966764418377321,0.8113391984359726,-0.7206702467369841,0.4711124225410489,0,2,0.5,1.0,1.0
you_chalk_brood,2,nextvit_small,40,0.8822055137844611,0.9122807017543859,-0.5427080861054493,0.5873308059222248,1,0,1.0,1.0,1.0
you_chalk_brood,0,conformer,114,0.7873191751308095,0.8728839642967067,-2.500022817361919,0.01241853077521401,3,6,0.5078125,0.33530033093077827,1.0
you_chalk_brood,1,conformer,64,0.7966764418377321,0.9149560117302052,-2.4218251293219417,0.01544277979512403,6,4,0.75390625,0.40151227467322476,1.0
you_chalk_brood,2,conformer,40,0.8822055137844611,0.9172932330827067,-0.7083325664865586,0.4787387578328791,0,0,1.0,1.0,1.0
you_chalk_brood,0,lsnet_t,114,0.7873191751308095,0.9455216989843028,-3.7891773715773343,0.0001511469696608697,2,12,0.012939453125,0.004685556059486961,0.38818359375
you_chalk_brood,1,lsnet_t,64,0.7966764418377321,0.8807429130009775,-2.202932642755207,0.027599496477221104,3,3,1.0,0.6071889224988642,1.0
you_chalk_brood,2,lsnet_t,40,0.8822055137844611,0.9298245614035088,-1.0157539628530938,0.3097465638472964,0,0,1.0,1.0,1.0
you_chalk_brood,0,mambavision,114,0.7873191751308095,0.9492151431209603,-3.9753669281224924,7.027082793221448e-05,4,20,0.001543879508972168,0.0023189373217630776,0.049404144287109375
you_chalk_brood,1,mambavision,64,0.7966764418377321,0.8885630498533724,-2.2464735847535366,0.02467368966008212,2,5,0.453125,0.5921685518419708,1.0
you_chalk_brood,2,mambavision,40,0.8822055137844611,0.8922305764411027,-0.20926448540482714,0.8342417745127155,1,1,1.0,1.0,1.0
