task,fold,model,n,auc_ref,auc_model,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_p,delong_p_holm,mcnemar_p_holm
you_foulbrood,0,lgca_net_no_cross_attn,77,0.9351351351351351,0.9432432432432433,-0.4036631991351628,0.6864604048538615,5,6,1.0,1.0,1.0
you_foulbrood,1,lgca_net_no_cross_attn,96,0.9236263736263737,0.9236263736263737,0.0,1.0,0,2,0.5,1.0,1.0
you_foulbrood,2,lgca_net_no_cross_attn,175,0.5934684684684685,0.6918637387387387,-3.4442270520342384,0.0005726945497450336,2,1,1.0,0.013171974644135772,1.0
you_foulbrood,0,lgca_net_cnn_only,77,0.9351351351351351,0.9094594594594595,1.0380362023373864,0.29925320102697384,3,5,0.7265625,1.0,1.0
you_foulbrood,1,lgca_net_cnn_only,96,0.9236263736263737,0.8785714285714286,1.4324815549365355,0.15200605317346547,47,2,4.355626970209414e-12,1.0,1.26313182136073e-10
you_foulbrood,2,lgca_net_cnn_only,175,0.5934684684684685,0.7259290540540541,-3.468824847286294,0.0005227401346938991,3,1,0.625,0.012545763232653578,1.0
you_foulbrood,0,resnet50,77,0.9351351351351351,0.9493243243243243,-0.5362833938204326,0.5917627057076718,1,5,0.21875,1.0,1.0
you_foulbrood,1,resnet50,96,0.9236263736263737,0.9983516483516484,-1.44273107308825,0.14909624239535518,7,4,0.548828125,1.0,1.0
you_foulbrood,2,resnet50,175,0.5934684684684685,0.9276463963963963,-7.611254904673198,2.71447264663808e-14,6,48,3.2565301566478407e-09,7.871970675250432e-13,9.118284438613954e-08
you_foulbrood,0,densenet121,77,0.9351351351351351,0.9168918918918919,0.7476051999171442,0.4546983273266335,1,5,0.21875,1.0,1.0
you_foulbrood,1,densenet121,96,0.9236263736263737,0.9989010989010989,-1.4429383285518629,0.14903784479387533,0,2,0.5,1.0,1.0
you_foulbrood,2,densenet121,175,0.5934684684684685,0.9231418918918919,-7.128043492127739,1.0180561220863451e-12,2,48,2.2666313270747196e-12,2.6469459174244974e-11,6.799893981224159e-11
you_foulbrood,0,efficientnetv2,77,0.9351351351351351,0.9317567567567567,0.14884154059204974,0.8816786710542801,2,5,0.453125,1.0,1.0
you_foulbrood,1,efficientnetv2,96,0.9236263736263737,0.9802197802197802,-1.4287262430606396,0.1530829319576837,2,2,1.0,1.0,1.0
you_foulbrood,2,efficientnetv2,175,0.5934684684684685,0.9120917792792793,-7.191824070688055,6.393137615412378e-13,5,40,7.878384167270269e-08,1.726147156161342e-11,2.04837988349027e-06
you_foulbrood,0,coatnet,77,0.9351351351351351,0.9966216216216216,-2.4969963003690383,0.0125250263433311,2,10,0.03857421875,0.2630255532099531,0.8486328125
you_foulbrood,1,coatnet,96,0.9236263736263737,0.9692307692307692,-1.4287448204120936,0.1530775904432608,0,2,0.5,1.0,1.0
you_foulbrood,2,coatnet,175,0.5934684684684685,0.9387668918918919,-7.7818480504650225,7.147268319363763e-15,2,36,5.398760549724102e-09,2.287125862196404e-13,1.4576653484255075e-07
you_foulbrood,0,crossvit,77,0.9351351351351351,0.9587837837837838,-1.1887062638609935,0.23455527487092886,2,5,0.453125,1.0,1.0
you_foulbrood,1,crossvit,96,0.9236263736263737,0.9285714285714286,-1.16646841101682,0.2434251131731867,0,2,0.5,1.0,1.0
you_foulbrood,2,crossvit,175,0.5934684684684685,0.9331362612612613,-7.701145213980976,1.348521341600033e-14,2,49,1.1786127629420662e-12,4.045564024800099e-13,3.771560841414612e-11
you_foulbrood,0,nextvit_small,77,0.9351351351351351,0.9337837837837838,0.055868507526646995,0.9554465589834336,7,6,1.0,1.0,1.0
you_foulbrood,1,nextvit_small,96,0.9236263736263737,1.0,-1.4432574045649798,0.148947974065559,3,4,1.0,1.0,1.0
you_foulbrood,2,nextvit_small,175,0.5934684684684685,0.9161036036036037,-7.283751723882373,3.2466226919324087e-13,7,44,1.2115257419509362e-07,9.090543537410744e-12,3.0288143548773405e-06
you_foulbrood,0,conformer,77,0.9351351351351351,0.9979729729729729,-2.5238873518883134,0.011606511404894524,1,10,0.01171875,0.2553432509076795,0.26953125
you_foulbrood,1,conformer,96,0.9236263736263737,1.0,-1.4432574045649798,0.148947974065559,0,3,0.25,1.0,1.0
you_foulbrood,2,conformer,175,0.5934684684684685,0.944115990990991,-7.754824019787174,8.846606788912235e-15,2,50,6.123990203832363e-13,2.742448104562793e-13,2.02091676726468e-11
you_foulbrood,0,lsnet_t,77,0.9351351351351351,0.9364864864864865,-0.057897732078910635,0.9538300896326111,3,5,0.7265625,1.0,1.0
you_foulbrood,1,lsnet_t,96,0.9236263736263737,0.989010989010989,-1.43958700127429,0.14998427938806522,1,2,1.0,1.0,1.0
you_foulbrood,2,lsnet_t,175,0.5934684684684685,0.8813344594594594,-6.084605313921345,1.1677862244746332e-09,6,37,1.636124125070637e-06,2.919465561186583e-08,3.926697900169529e-05
you_foulbrood,0,mambavision,77,0.9351351351351351,0.9493243243243243,-0.7472697723176408,0.4549007349055162,0,5,0.0625,1.0,1.0
you_foulbrood,1,mambavision,96,0.9236263736263737,0.9895604395604396,-1.42658219205997,0.1537003602113059,1,2,1.0,1.0,1.0
you_foulbrood,2,mambavision,175,0.5934684684684685,0.9652308558558559,-8.437650403819672,3.237803425727305e-17,2,49,1.1786127629420662e-12,1.0684751304900107e-15,3.771560841414612e-11
