task,scope,model,n,model_ba,surrogate_auc,surrogate_ba,kappa_threshold,spearman_L
you_chalk_brood,original,__reference_label__,1000,,0.9853319999999999,0.945,,
you_chalk_brood,original,lgca_net,1000,0.9510000000000001,0.9998271530499447,0.9939704552306301,0.8564621917425889,-0.8551219050794653
you_chalk_brood,original,lgca_net_no_cross_attn,1000,0.9510000000000001,0.9996981636275097,0.9931925836791036,0.8485434261868416,-0.8326701724871717
you_chalk_brood,original,lgca_net_cnn_only,1000,0.952,0.9997465359918891,0.993188657686799,0.8545086378022434,-0.8202646964450651
you_chalk_brood,original,resnet50,1000,0.966,0.9898734075923437,0.9597657000192049,0.8341220861445976,-0.7563182193940381
you_chalk_brood,original,densenet121,1000,0.951,0.9869997879312897,0.9499117714139381,0.8521224426175127,-0.7981171189058216
you_chalk_brood,original,efficientnetv2,1000,0.95,0.9878222464034822,0.9478724936390841,0.826095995010754,-0.835723044802617
you_chalk_brood,original,coatnet,1000,0.9530000000000001,0.993644859813084,0.9899507587177168,0.8644365144235562,-0.8442932326470015
you_chalk_brood,original,crossvit,1000,0.95,0.9877197912484946,0.983701324769169,0.846423870118473,-0.8258301087496529
you_chalk_brood,original,nextvit_small,1000,0.954,0.9941215259907359,0.9910254760679362,0.8504951600299807,-0.8011375227177485
you_chalk_brood,original,conformer,1000,0.9470000000000001,0.9872452555153758,0.9598175490867442,0.8362560954666901,-0.8017694761957842
you_chalk_brood,original,lsnet_t,1000,0.962,0.9897523895054205,0.9736512925781,0.8383569079472525,-0.7888095928095928
you_chalk_brood,original,mambavision,1000,0.967,0.9831273925861332,0.9489201611258005,0.8200496662921034,-0.8062277146150121
you_chalk_brood,matched,__reference_label__,218,,0.8963050248295599,0.8532110091743119,,
you_chalk_brood,matched,lgca_net,218,0.798165137614679,0.9963573445041435,0.9674892996994808,0.43486132828573776,-0.5325642994008628
you_chalk_brood,matched,lgca_net_no_cross_attn,218,0.8073394495412844,0.9970525927972737,0.9834668877222068,0.41778289095242016,-0.5318344533141688
you_chalk_brood,matched,lgca_net_cnn_only,218,0.8073394495412844,0.9978815510730404,0.9834668877222068,0.43569726353849947,-0.44387140194610575
you_chalk_brood,matched,resnet50,218,0.8761467889908257,0.9233843537414965,0.8720238095238095,0.32671118530884813,-0.38336415375500454
you_chalk_brood,matched,densenet121,218,0.8256880733944953,0.8913136499786051,0.859349593495935,0.3917714666444574,-0.35375801615712105
you_chalk_brood,matched,efficientnetv2,218,0.8256880733944953,0.8873610050080638,0.8284101519395637,0.3353103333054883,-0.40129846141533854
you_chalk_brood,matched,coatnet,218,0.8119266055045872,0.96510989010989,0.9536630036630036,0.4442434210526316,-0.5393635199808412
you_chalk_brood,matched,crossvit,218,0.8211009174311927,0.9637362637362638,0.9672161172161172,0.4263157894736843,-0.4536695955245798
you_chalk_brood,matched,nextvit_small,218,0.8256880733944953,0.9909557109557111,0.9828438228438229,0.43653072946582416,-0.39695216628085633
you_chalk_brood,matched,conformer,218,0.8027522935779816,0.9042832167832169,0.901048951048951,0.403976801988401,-0.32221884918072835
you_chalk_brood,matched,lsnet_t,218,0.8440366972477065,0.92024216899184,0.9023865929630605,0.3593012666611475,-0.36149777403775707
you_chalk_brood,matched,mambavision,218,0.8853211009174312,0.8988983050847458,0.8341525423728814,0.2710249122220365,-0.3475439401205679
you_foulbrood,original,__reference_label__,1000,,0.8285959999999999,0.845,,
you_foulbrood,original,lgca_net,1000,0.894,0.9626096418366669,0.924529869094292,0.7806945628648259,-0.7664278839243023
you_foulbrood,original,lgca_net_no_cross_attn,1000,0.901,0.9670232938863318,0.9336866698750776,0.8038983376298663,-0.7834631716678463
you_foulbrood,original,lgca_net_cnn_only,1000,0.8220000000000001,0.8172427318135247,0.780609631147541,0.6609747877581809,-0.6830127992579912
you_foulbrood,original,resnet50,1000,0.956,0.8360154760569699,0.8631586536150851,0.6805509792418409,-0.6478138823048573
you_foulbrood,original,densenet121,1000,0.964,0.8423261679840627,0.8751365593470857,0.6834473191818826,-0.6353437949539416
you_foulbrood,original,efficientnetv2,1000,0.948,0.857588683246578,0.8704373112267849,0.707642428543777,-0.7389467671294249
you_foulbrood,original,coatnet,1000,0.9570000000000001,0.870828657729728,0.8816901351802471,0.7214023555632719,-0.7046811782235639
you_foulbrood,original,crossvit,1000,0.964,0.8406683359013867,0.8745184899845917,0.6797402471841312,-0.719900007497008
you_foulbrood,original,nextvit_small,1000,0.9490000000000001,0.8436472825542989,0.8517665899309379,0.6868161651040935,-0.6873086306228376
you_foulbrood,original,conformer,1000,0.974,0.8341706730769232,0.8648237179487179,0.6964702098576827,-0.6780148652831733
you_foulbrood,original,lsnet_t,1000,0.946,0.8610034418425117,0.8768978383942356,0.7113816543684304,-0.6968118709927422
you_foulbrood,original,mambavision,1000,0.9630000000000001,0.8446654545892383,0.8726857147444003,0.697791459989604,-0.5359409950145335
you_foulbrood,matched,__reference_label__,348,,0.5892125776192363,0.5833333333333333,,
you_foulbrood,matched,lgca_net,348,0.7729885057471264,0.8790907309425827,0.7596119929453262,0.17778425089814542,-0.753464349383981
you_foulbrood,matched,lgca_net_no_cross_attn,348,0.7787356321839081,0.8974417455430114,0.8233550005701904,0.19891061180818992,-0.7060481715906123
you_foulbrood,matched,lgca_net_cnn_only,348,0.6436781609195402,0.5624916320792609,0.5820056232427366,0.3315602836879433,-0.3338352334447707
you_foulbrood,matched,resnet50,348,0.896551724137931,0.630733032873807,0.5961028632025451,-0.15174866627148775,-0.3216822841314617
you_foulbrood,matched,densenet121,348,0.9224137931034483,0.6544861666722694,0.6128349077217872,-0.11878752091329603,-0.3436531108286735
you_foulbrood,matched,efficientnetv2,348,0.882183908045977,0.6768077453188557,0.6268531280465257,-0.038874126562346234,-0.45871731409431893
you_foulbrood,matched,coatnet,348,0.8994252873563218,0.706166128758281,0.6315270935960591,-0.014245014245014342,-0.4391182381527779
you_foulbrood,matched,crossvit,348,0.9224137931034482,0.648533601474778,0.6087481146304676,-0.11944854751354028,-0.45155267171779734
you_foulbrood,matched,nextvit_small,348,0.8793103448275862,0.6442142195154243,0.6215742089236065,-0.07216291024120203,-0.40538134301942713
you_foulbrood,matched,conformer,348,0.9454022988505747,0.6356194469402016,0.603424178895877,-0.08710663904508231,-0.3354369863661324
you_foulbrood,matched,lsnet_t,348,0.8706896551724138,0.682201238704437,0.6294040004061326,-0.026245945148923644,-0.42685892630012573
you_foulbrood,matched,mambavision,348,0.9252873563218391,0.6391083143660463,0.6135024769045387,-0.11406619385342776,-0.13447774148940686
