task,model,n,BA,BA_lo,BA_hi,Sensitivity,Sensitivity_lo,Sensitivity_hi,Specificity,Specificity_lo,Specificity_hi,Precision,Precision_lo,Precision_hi,F1,F1_lo,F1_hi,AUROC,AUROC_lo,AUROC_hi,Loss,Loss_lo,Loss_hi
you_chalk_brood,coatnet,1000,0.9530000000000001,0.94,0.966,0.918,0.894,0.94,0.988,0.978,0.996,0.9870967741935484,0.9763948497854077,0.9957081545064378,0.9529423543841206,0.9398614407595098,0.9659733230852989,0.987392,0.9820913,0.991824,0.1324472422353482,0.09818600188418009,0.17196294278770047
you_chalk_brood,conformer,1000,0.9470000000000001,0.933,0.96,0.93,0.908,0.95,0.964,0.948,0.98,0.9627329192546584,0.9467185764297977,0.9788605763881162,0.9469846785721073,0.9329645382407293,0.959984069652493,0.990464,0.9860673,0.993992,0.11459413824481715,0.08911213741675271,0.14501756622991316
you_chalk_brood,crossvit,1000,0.95,0.937,0.963,0.92,0.896,0.942,0.98,0.968,0.992,0.9787234042553191,0.9658830390173674,0.9910743785399623,0.949954959463517,0.9368602211006014,0.9629731036527255,0.984256,0.9783676,0.9893322999999999,0.12739019709918648,0.10130975747431804,0.15630785070022682
you_chalk_brood,densenet121,1000,0.951,0.937,0.963,0.942,0.922,0.96,0.96,0.942,0.976,0.9592668024439919,0.9417641390511746,0.9751552795031055,0.9509960306784849,0.9369999369999371,0.9629996669970029,0.987732,0.9798071,0.9939121,0.14347964795877124,0.1013290363888208,0.1907538177301512
you_chalk_brood,efficientnetv2,1000,0.95,0.9359999999999999,0.963,0.944,0.924,0.964,0.956,0.938,0.972,0.9554655870445344,0.937625754527163,0.9714867617107943,0.9499981999351976,0.9359976959170531,0.9629970027572233,0.9896,0.9845147,0.9938322,0.3640103948324741,0.2359320485545413,0.5244081515502158
you_chalk_brood,lgca_net_cnn_only,1000,0.952,0.9390000000000001,0.965,0.914,0.888,0.938,0.99,0.98,0.998,0.9891774891774892,0.9787234042553191,0.9977975983460855,0.9519305877687381,0.9388409252465663,0.9649663326456726,0.983216,0.9766355999999999,0.9887326000000001,0.13910112712155148,0.10748006141629483,0.17783678578282103
you_chalk_brood,lgca_net_no_cross_attn,1000,0.9510000000000001,0.937975,0.964,0.912,0.886,0.936,0.99,0.98,0.998,0.9891540130151844,0.9785407725321889,0.9978023182957394,0.9509253574687098,0.9377680422392106,0.9639632100275988,0.98438,0.9782709,0.9895326,0.12419177125966382,0.09653372821075934,0.15803021842394216
you_chalk_brood,lgca_net,1000,0.9510000000000001,0.938,0.964,0.916,0.892,0.9380499999999997,0.986,0.974,0.996,0.9849462365591398,0.9727463312368972,0.9956046365914787,0.9509399013791895,0.9378568221181602,0.9639632100275988,0.98432,0.9784873000000001,0.9893654000000001,0.12458915654645898,0.10119666048922035,0.15048217797730049
you_chalk_brood,lsnet_t,1000,0.962,0.95,0.973,0.938,0.916,0.958,0.986,0.974,0.996,0.9852941176470589,0.973027643826399,0.9957356076759062,0.9619780993852459,0.9499487475174578,0.9729902494800623,0.990076,0.9835599,0.9952044,0.11128395409649237,0.08621608441986318,0.13923875873821667
you_chalk_brood,mambavision,1000,0.967,0.955,0.977,0.964,0.946,0.98,0.97,0.954,0.984,0.9698189134808853,0.9543628112278709,0.9836743006775012,0.966999702997327,0.9549995949963549,0.976999976999977,0.9929,0.98783285,0.99652,0.1195783045279784,0.07986295493258523,0.1695033251731719
