scheme,fold,role,n_normal,n_abnormal,n_total,pos_rate
stratified,0,train,249,250,499,0.501
stratified,0,val,84,83,167,0.497
stratified,0,test,167,167,334,0.5
stratified,1,train,250,250,500,0.5
stratified,1,val,84,83,167,0.497
stratified,1,test,166,167,333,0.5015
stratified,2,train,250,250,500,0.5
stratified,2,val,83,84,167,0.503
stratified,2,test,167,166,333,0.4985
hive-grouped,0,train,234,194,428,0.4533
hive-grouped,0,val,78,65,143,0.4545
hive-grouped,0,test,188,241,429,0.5618
hive-grouped,1,train,239,254,493,0.5152
hive-grouped,1,val,80,85,165,0.5152
hive-grouped,1,test,181,161,342,0.4708
hive-grouped,2,train,277,301,578,0.5208
hive-grouped,2,val,92,101,193,0.5233
hive-grouped,2,test,131,98,229,0.4279
