scheme,fold,role,n_normal,n_abnormal,n_total,pos_rate
stratified,0,train,249,250,499,0.501
stratified,0,val,84,83,167,0.497
stratified,0,test,167,167,334,0.5
stratified,1,train,250,250,500,0.5
stratified,1,val,84,83,167,0.497
stratified,1,test,166,167,333,0.5015
stratified,2,train,250,250,500,0.5
stratified,2,val,83,84,167,0.503
stratified,2,test,167,166,333,0.4985
hive-grouped,0,train,272,255,527,0.4839
hive-grouped,0,val,91,85,176,0.483
hive-grouped,0,test,137,160,297,0.5387
hive-grouped,1,train,235,320,555,0.5766
hive-grouped,1,val,78,107,185,0.5784
hive-grouped,1,test,187,73,260,0.2808
hive-grouped,2,train,243,174,417,0.4173
hive-grouped,2,val,81,59,140,0.4214
hive-grouped,2,test,176,267,443,0.6027
