Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,GradCAM,13.561380906788777,50.29940119760479
0,Saliency,45.4497756942753,50.29940119760479
1,GradCAM,10.540480901272913,47.147147147147145
1,Saliency,39.80887237870492,44.44444444444444
2,GradCAM,21.132593736110742,11.711711711711711
2,Saliency,42.49071212542969,12.012012012012011
CV_MEAN,GradCAM,15.078151848057479,36.38608668548788
CV_MEAN,Saliency,42.58312006613664,35.585285884687075
ALL,GradCAM,15.07663507711621,36.4
ALL,Saliency,42.585986721764776,35.6
