Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.4631736301510277,0.4631736301510277,46.31736301510277,46.31736301510277,0.856287;0.838323;0.598802;0.502994;0.502994;0.502994;0.502994;0.502994;0.502994,0.856287;0.838323;0.598802;0.502994;0.502994;0.502994;0.502994;0.502994;0.502994
0,SHAP,0.1-0.9,0.5140718349484269,0.5702095627338587,51.40718349484269,57.02095627338587,0.862275;0.856287;0.856287;0.637725;0.598802;0.502994;0.502994;0.502994;0.502994,0.871257;0.859281;0.856287;0.856287;0.838323;0.598802;0.502994;0.502994;0.502994
1,LIME,0.1-0.9,0.5096095952096286,0.5117116973094933,50.96095952096286,51.17116973094933,0.849850;0.837838;0.837838;0.822823;0.522523;0.471471;0.471471;0.471471;0.471471,0.849850;0.840841;0.837838;0.825826;0.537538;0.471471;0.471471;0.471471;0.471471
1,SHAP,0.1-0.9,0.4753753546927426,0.5870870665029004,47.53753546927426,58.70870665029004,0.849850;0.837838;0.825826;0.543544;0.471471;0.471471;0.471471;0.471471;0.471471,0.849850;0.849850;0.843844;0.837838;0.837838;0.825826;0.543544;0.471471;0.471471
2,LIME,0.1-0.9,0.5657657477053794,0.5710210024795912,56.57657477053794,57.10210024795912,0.879880;0.879880;0.879880;0.876877;0.720721;0.546547;0.525526;0.525526;0.525526,0.876877;0.873874;0.870871;0.870871;0.804805;0.537538;0.525526;0.525526;0.525526
2,SHAP,0.1-0.9,0.7259759355235744,0.676876845000474,72.59759355235744,67.6876845000474,0.903904;0.912913;0.918919;0.924925;0.921922;0.915916;0.897898;0.879880;0.870871,0.876877;0.876877;0.876877;0.876877;0.873874;0.876877;0.870871;0.765766;0.624625
CV_MEAN,LIME,0.1-0.9,0.5128496576886786,0.5153021099800373,51.28496576886786,51.53021099800373,,
CV_MEAN,SHAP,0.1-0.9,0.5718077083882479,0.6113911580790777,57.18077083882479,61.13911580790777,,
ALL,LIME,0.1-0.9,0.5127999816611409,0.5152499815002084,51.27999816611409,51.52499815002084,,
ALL,SHAP,0.1-0.9,0.5717499725148082,0.6113499764837325,57.17499725148082,61.13499764837324,,
