Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.4631736301510277,0.464221534369413,46.31736301510277,46.4221534369413,0.856287;0.838323;0.598802;0.502994;0.502994;0.502994;0.502994;0.502994;0.502994,0.871257;0.841317;0.598802;0.502994;0.502994;0.502994;0.502994;0.502994;0.502994
0,Saliency,0.1-0.9,0.49850297244098374,0.5706586645481115,49.85029724409837,57.06586645481116,0.862275;0.856287;0.835329;0.598802;0.502994;0.502994;0.502994;0.502994;0.502994,0.874251;0.862275;0.856287;0.856287;0.838323;0.598802;0.502994;0.502994;0.502994
1,GradCAM,0.1-0.9,0.4993993840865545,0.5150150008745737,49.93993840865545,51.50150008745737,0.849850;0.837838;0.837838;0.771772;0.471471;0.471471;0.471471;0.471471;0.471471,0.849850;0.849850;0.843844;0.837838;0.543544;0.471471;0.471471;0.471471;0.471471
1,Saliency,0.1-0.9,0.4693693490447225,0.5870870665029004,46.93693490447225,58.70870665029004,0.849850;0.837838;0.765766;0.543544;0.471471;0.471471;0.471471;0.471471;0.471471,0.849850;0.849850;0.843844;0.837838;0.837838;0.825826;0.543544;0.471471;0.471471
2,GradCAM,0.1-0.9,0.5618618442355333,0.5707207024097443,56.18618442355333,57.072070240974426,0.891892;0.885886;0.882883;0.876877;0.672673;0.537538;0.525526;0.528529;0.525526,0.876877;0.876877;0.879880;0.879880;0.774775;0.534535;0.531532;0.528529;0.525526
2,Saliency,0.1-0.9,0.712912872545533,0.6689188897095106,71.29128725455331,66.89188897095106,0.903904;0.909910;0.903904;0.897898;0.897898;0.885886;0.882883;0.867868;0.861862,0.876877;0.873874;0.876877;0.876877;0.876877;0.873874;0.870871;0.726727;0.549550
CV_MEAN,GradCAM,0.1-0.9,0.5081449528243719,0.5166524125512436,50.814495282437186,51.665241255124364,,
CV_MEAN,Saliency,0.1-0.9,0.5602617313437465,0.6088882069201742,56.026173134374645,60.88882069201742,,
ALL,GradCAM,0.1-0.9,0.5080999815016984,0.5165999816730619,50.80999815016985,51.659998167306185,,
ALL,Saliency,0.1-0.9,0.5601999725848437,0.6088499773778021,56.019997258484366,60.88499773778021,,
