Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,GradCAM,48.28113575481188,16.766467065868262
0,Saliency,49.60653537656987,12.574850299401197
1,GradCAM,49.66264820378743,29.72972972972973
1,Saliency,50.62736090078195,15.315315315315313
2,GradCAM,46.55914698230704,17.117117117117118
2,Saliency,45.86814182086322,14.714714714714713
CV_MEAN,GradCAM,48.16764364696879,21.204437970905037
CV_MEAN,Saliency,48.70067936607168,14.201626776477076
ALL,GradCAM,48.16775713907663,21.2
ALL,Saliency,48.70158522208219,14.2
