Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,LIME,0.1-0.9,0.4300897999437983,0.4526945908336404,43.00897999437983,45.26945908336404,0.589820;0.580838;0.562874;0.556886;0.541916;0.505988;0.502994;0.502994;0.502994,0.610778;0.601796;0.598802;0.634731;0.595808;0.532934;0.502994;0.502994;0.502994
0,SHAP,0.1-0.9,0.6715568543751975,0.6973053522876458,67.15568543751975,69.73053522876458,0.814371;0.874251;0.868263;0.859281;0.853293;0.841317;0.817365;0.802395;0.784431,0.952096;0.892216;0.886228;0.880240;0.880240;0.877245;0.862275;0.829341;0.778443
1,LIME,0.1-0.9,0.382132110104815,0.38603601394383397,38.2132110104815,38.603601394383396,0.522523;0.486486;0.477477;0.474474;0.471471;0.471471;0.471471;0.471471;0.471471,0.528529;0.510511;0.483483;0.480480;0.471471;0.471471;0.471471;0.471471;0.471471
1,SHAP,0.1-0.9,0.6216216000194127,0.5995495249782955,62.16216000194127,59.95495249782955,0.903904;0.870871;0.840841;0.816817;0.777778;0.786787;0.774775;0.660661;0.471471,0.894895;0.846847;0.828829;0.825826;0.801802;0.774775;0.771772;0.480480;0.435435
2,LIME,0.1-0.9,0.42117114612334844,0.4241741491822867,42.117114612334845,42.417414918228665,0.540541;0.525526;0.525526;0.525526;0.525526;0.525526;0.525526;0.525526;0.525526,0.546547;0.528529;0.549550;0.525526;0.525526;0.525526;0.525526;0.525526;0.525526
2,SHAP,0.1-0.9,0.6031531248767454,0.6405405183924032,60.31531248767455,64.05405183924032,0.816817;0.819820;0.798799;0.792793;0.792793;0.789790;0.780781;0.585586;0.525526,0.891892;0.882883;0.822823;0.807808;0.801802;0.792793;0.792793;0.795796;0.525526
CV_MEAN,LIME,0.1-0.9,0.4111310187239872,0.4209682513199204,41.11310187239872,42.09682513199204,,
CV_MEAN,SHAP,0.1-0.9,0.6321105264237852,0.6457984652194483,63.21105264237852,64.57984652194483,,
ALL,LIME,0.1-0.9,0.41114997750520704,0.4209999776594341,41.11499775052071,42.09999776594341,,
ALL,SHAP,0.1-0.9,0.6321499727517367,0.6458499721065164,63.214997275173666,64.58499721065164,,
