Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.4309880006835311,0.45913171375583034,43.09880006835311,45.91317137558303,0.601796;0.580838;0.562874;0.535928;0.529940;0.523952;0.520958;0.502994;0.502994,0.607784;0.607784;0.607784;0.604790;0.598802;0.580838;0.532934;0.502994;0.502994
0,Saliency,0.1-0.9,0.6606287125743435,0.7032933758493669,66.06287125743435,70.3293375849367,0.826347;0.865269;0.856287;0.844311;0.829341;0.817365;0.811377;0.790419;0.757485,0.949102;0.892216;0.889222;0.883234;0.886228;0.889222;0.883234;0.844311;0.781437
1,GradCAM,0.1-0.9,0.38468466272896473,0.3989489280336254,38.46846627289647,39.894892803362545,0.519520;0.507508;0.480480;0.474474;0.474474;0.471471;0.471471;0.471471;0.471471,0.540541;0.534535;0.528529;0.507508;0.489489;0.480480;0.471471;0.471471;0.471471
1,Saliency,0.1-0.9,0.57162160628864,0.6163663419897671,57.162160628864,61.636634198976715,0.534535;0.834835;0.825826;0.792793;0.777778;0.744745;0.726727;0.510511;0.471471,0.873874;0.888889;0.846847;0.840841;0.828829;0.789790;0.774775;0.534535;0.444444
2,GradCAM,0.1-0.9,0.4222221971900613,0.42822820340862144,42.222219719006134,42.822820340862144,0.543544;0.531532;0.528529;0.525526;0.525526;0.525526;0.525526;0.525526;0.525526,0.567568;0.558559;0.543544;0.531532;0.525526;0.525526;0.525526;0.525526;0.525526
2,Saliency,0.1-0.9,0.5735735562895691,0.646846824815055,57.35735562895691,64.68468248150549,0.747748;0.837838;0.795796;0.792793;0.792793;0.783784;0.582583;0.513514;0.525526,0.897898;0.891892;0.837838;0.822823;0.804805;0.792793;0.801802;0.804805;0.525526
CV_MEAN,GradCAM,0.1-0.9,0.41263162020085237,0.4287696150660258,41.26316202008524,42.876961506602576,,
CV_MEAN,Saliency,0.1-0.9,0.6019412917175176,0.6555021808847297,60.19412917175176,65.55021808847297,,
ALL,GradCAM,0.1-0.9,0.41264997658133507,0.4287999771647155,41.26499765813351,42.87999771647155,,
ALL,Saliency,0.1-0.9,0.6019999791383743,0.6555499720796942,60.199997913837436,65.55499720796942,,
